m01oak00001CC	AT5G62080
m01oak00462CC	AT1G11840
m01oak00463sC	AT5G54270
m01oak00466CC	AT5G64200
m01oak00467cC	AT5G20570
m01oak00474cF	AT5G13630
m01oak00475CC	AT5G30510
m01oak00478CC	AT5G26742
m01oak00481CT	AT2G27020
m01oak00483CC	AT1G75270
m01oak00485CC	AT4G24190
m01oak00486CC	AT3G02790
m01oak00488cC	AT3G25220
m01oak00489Ct	AT1G65720
m01oak00498cC	AT3G01280
m01oak00499CC	AT5G08180
m01oak00501CC	AT3G01390
m01oak00505cC	AT3G51800
m01oak00506CC	AT3G01120
m01oak00513CC	AT1G18800
m01oak00516Ct	AT2G16595
m01oak00517Jt	AT3G53620
m01oak00518CC	AT3G19130
m01oak00521CC	AT5G09590
m01oak00528cC	AT1G09340
m01oak00529CC	AT5G01650
m01oak00530cC	AT2G43030
m01oak00535cC	AT3G52300
m01oak00538Ct	AT1G65290
m01oak00541jf	AT5G60800
m01oak00548cC	AT3G59690
m01oak00549Cz	AT1G24020
m01oak00550sC	AT3G62030
m01oak00551cC	AT4G11600
m01oak00554CC	AT2G27040
m01oak00556CC	AT4G17600
m01oak00563Ct	AT5G40810
m01oak00572CT	AT1G12000
m01oak00574CC	AT1G74470
m01oak00576cC	AT1G78630
m01oak00577CC	AT2G29960
m01oak00578CC	AT2G18050
m01oak00579cT	AT2G44160
m01oak00581CC	AT3G25920
m01oak00583cC	AT5G20920
m01oak00586CC	AT2G16500
m01oak00590Cz	AT1G15120
m01oak00591cC	AT4G24770
m01oak00594cC	AT3G29360
m01oak00595cf	AT2G37340
m01oak00597CC	AT5G64040
m01oak00598cC	AT4G00860
m01oak00600CC	AT2G05990
m01oak00602CC	AT5G65430
m01oak00608cC	AT1G13930
m01oak00613CC	AT5G62065
m01oak00614cC	AT4G27000
m01oak00617CC	AT2G05840
m01oak00619cC	AT3G44110
m01oak00621CC	AT4G13430
m01oak00622cC	AT2G24270
m01oak00623cT	AT2G32720
m01oak00624CC	AT4G02380
m01oak00625cC	AT1G23820
m01oak00626cf	AT5G46030
m01oak00629Ct	AT2G31490
m01oak00634CC	AT3G12120
m01oak00636CC	AT3G27830
m01oak00640CC	AT1G63770
m01oak00652cC	AT3G46940
m01oak00655CC	AT2G28790
m01oak00657cm	ATCG01110
m01oak00659cC	AT5G51940
m01oak00662CC	AT3G57290
m01oak00663cC	AT1G18210
m01oak00669CC	AT5G46250
m01oak00672cT	AT3G25230
m01oak00674cC	AT4G12400
m01oak00677sC	AT3G60820
m01oak00679cf	AT3G12320
m01oak00680cf	AT1G18250
m01oak00681CC	AT5G33320
m01oak00682cC	AT2G36880
m01oak00683cC	AT5G20890
m01oak00688CC	AT4G17090
m01oak00691CT	AT1G01090
m01oak00692cC	AT4G13200
m01oak00695CC	AT5G04430
m01oak00697cC	AT5G25450
m01oak00701CC	AT2G04030
m01oak00705CC	AT3G45310
m01oak00707cC	AT2G39990
m01oak00708CC	AT1G22410
m01oak00709cF	AT5G39570
m01oak00710cf	AT3G50820
m01oak00712CC	AT4G35090
m01oak00713cC	AT1G04940
m01oak00715cC	AT3G22110
m01oak00718cC	AT3G48890
m01oak00720cC	AT5G60790
m01oak00723cC	AT5G54580
m01oak00724Ci	AT1G22450
m01oak00725CC	AT4G30440
m01oak00729cC	AT2G20890
m01oak00731CC	AT5G62190
m01oak00732cI	AT5G15780
m01oak00733Ct	AT1G05190
m01oak00737sC	AT4G32260
m01oak00741jC	AT5G23420
m01oak00742CC	AT1G52360
m01oak00743JC	AT1G10950
m01oak00745cC	AT2G46080
m01oak00749cC	AT1G58290
m01oak00751cC	AT5G08290
m01oak00753cC	AT2G30950
m01oak00755cC	AT1G42970
m01oak00756CC	AT4G31300
m01oak00757CC	AT3G48000
m01oak00762cC	AT3G55620
m01oak00766Ct	ATCG00810
m01oak00769cC	AT4G34110
m01oak00770cC	AT1G74970
m01oak00771CC	AT5G16660
m01oak00772CT	AT1G67350
m01oak00773CC	AT3G02090
m01oak00775CC	AT4G09650
m01oak00779cT	AT4G22240
m01oak00781cC	AT2G33150
m01oak00783jC	AT3G54210
m01oak00784CC	AT4G19110
m01oak00789cC	AT3G22850
m01oak00790Cf	AT2G30520
m01oak00793cC	AT1G56220
m01oak00794cC	AT2G43330
m01oak00801cC	AT2G26500
m01oak00804CC	AT5G48385
m01oak00805CC	AT1G35680
m01oak00810CC	AT5G55530
m01oak00811CC	AT5G05610
m01oak00812Cf	AT1G02840
m01oak00815cC	AT4G02530
m01oak00816Ct	AT5G20060
m01oak00819cC	AT5G43970
m01oak00820cf	AT5G52840
m01oak00822cC	AT5G43060
m01oak00823cC	AT5G47890
m01oak00828CC	AT3G55770
m01oak00831cC	AT1G48410
m01oak00832CC	AT5G27120
m01oak00834cC	AT5G18800
m01oak00836cC	AT2G36830
m01oak00837CC	AT2G28760
m01oak00838cF	AT3G48690
m01oak00841cC	AT1G78080
m01oak00842cT	AT1G20330
m01oak00843cC	AT4G25050
m01oak00846CC	AT3G06400
m01oak00847cC	AT1G51510
m01oak00850cC	AT5G05580
m01oak00857cC	AT4G11150
m01oak00860Ci	AT5G23950
m01oak00862JC	AT5G13420
m01oak00864CC	AT3G24170
m01oak00870cC	AT5G04660
m01oak00872cC	AT1G56450
m01oak00875Ct	AT5G13120
m01oak00876CC	AT2G26280
m01oak00877cF	AT3G63140
m01oak00880cC	AT1G32230
m01oak00881cC	AT3G51030
m01oak00882CC	AT1G11650
m01oak00883cC	AT3G26810
m01oak00884cC	AT1G65450
m01oak00885cC	AT5G20240
m01oak00891cC	AT1G15690
m01oak00892Ct	AT3G03920
m01oak00895cC	AT4G34450
m01oak00896cC	AT3G02360
m01oak00897cC	AT1G79850
m01oak00901CC	AT2G40100
m01oak00903CF	AT5G40650
m01oak00905cC	AT1G23750
m01oak00906CC	AT3G55120
m01oak00907CC	AT5G26360
m01oak00908CC	AT5G63400
m01oak00909cC	AT3G23920
m01oak00910cC	AT3G52730
m01oak00911cC	AT1G74110
m01oak00913CC	AT3G27570
m01oak00915CC	AT3G09860
m01oak00916CC	AT4G01310
m01oak00918CC	AT3G04730
m01oak00921cC	AT4G30210
m01oak00924cC	AT5G65670
m01oak00928cC	AT5G05000
m01oak00931CT	AT3G13670
m01oak00932CC	AT5G49720
m01oak00934JC	AT1G71695
m01oak00935CC	AT5G41685
m01oak00937CC	AT5G66230
m01oak00938Ct	AT1G05260
m01oak00940cc	AT2G05790
m01oak00943CC	AT3G17020
m01oak00944CC	AT2G46820
m01oak00946CM	AT1G02560
m01oak00947cC	AT2G14900
m01oak00948cF	AT4G35420
m01oak00951jC	AT5G42050
m01oak00952CC	AT3G03960
m01oak00953CC	AT4G18390
m01oak00956cC	AT3G11830
m01oak00957cC	AT2G20580
m01oak00960cC	AT5G17050
m01oak00961CI	AT3G55005
m01oak00962CC	AT1G69500
m01oak00970jC	AT2G46290
m01oak00973CC	AT5G15230
m01oak00974cC	AT5G22740
m01oak00975Cf	AT1G05010
m01oak00976CC	AT5G67500
m01oak00977CC	AT2G31400
m01oak00978cC	AT3G15190
m01oak00986Ct	AT4G28440
m01oak00987sC	AT1G61570
m01oak00988CC	AT4G02580
m01oak00989cC	AT5G08530
m01oak00995CC	AT5G48230
m01oak00996JC	AT2G40140
m01oak00997CC	AT1G30690
m01oak00999CT	AT3G60240
m01oak01002cT	AT2G45640
m01oak01003cC	AT2G05710
m01oak01004CC	AT2G33220
m01oak01005cC	AT5G08610
m01oak01008cF	AT1G04980
m01oak01013cC	AT3G07390
m01oak01016CC	AT3G13460
m01oak01018cf	AT2G36410
m01oak01019Cz	AT2G46490
m01oak01020CC	AT3G56130
m01oak01021cC	AT1G36730
m01oak01023JC	AT2G42210
m01oak01024cF	AT1G02050
m01oak01026cT	AT4G01050
m01oak01028CC	AT1G06260
m01oak01029cC	AT1G26920
m01oak01030cC	AT5G03880
m01oak01031CT	AT3G54050
m01oak01033ct	AT5G62000
m01oak01035cC	AT1G78570
m01oak01036cC	AT2G20420
m01oak01037CF	AT1G56110
m01oak01040CC	AT4G31290
m01oak01042CT	AT5G50850
m01oak01043CC	AT5G09900
m01oak01044Ct	AT1G32060
m01oak01046CC	AT1G67280
m01oak01048cC	AT4G30920
m01oak01049CC	AT1G76490
m01oak01054Ci	AT1G02305
m01oak01057CC	AT5G14920
m01oak01058CC	AT5G24930
m01oak01060cC	AT5G58330
m01oak01064cC	AT5G50810
m01oak01066CC	AT5G46630
m01oak01071cC	AT3G47810
m01oak01073cC	AT5G53560
m01oak01074cF	AT5G24650
m01oak01075cC	AT1G35720
m01oak01078cC	AT1G22520
m01oak01081CF	AT5G58250
m01oak01082cC	AT2G23810
m01oak01084cC	AT3G11400
m01oak01086CF	AT1G23000
m01oak01088Cc	AT3G44890
m01oak01091Ct	AT5G19140
m01oak01096JC	AT3G62830
m01oak01097CC	AT5G35620
m01oak01102Ct	AT1G51200
m01oak01103CC	AT5G61410
m01oak01105cC	AT2G24090
m01oak01107cT	AT5G09250
m01oak01113cF	AT5G66680
m01oak01114JC	AT3G05540
m01oak01115cC	AT4G01900
m01oak01119cC	AT3G11710
m01oak01120CC	AT5G54600
m01oak01123Cz	AT2G46330
m01oak01125cC	AT1G19880
m01oak01126cC	AT2G21170
m01oak01132CT	AT5G27470
m01oak01135CC	AT3G53990
m01oak01141cC	AT1G17260
m01oak01145cC	AT5G15270
m01oak01147CC	AT5G10860
m01oak01148Cz	AT1G67785
m01oak01149CC	AT1G56300
m01oak01151JC	AT3G47520
m01oak01153CC	AT1G08480
m01oak01158cC	AT2G40490
m01oak01159cf	AT1G80560
m01oak01161CC	AT5G15530
m01oak01163cC	AT3G25150
m01oak01164Jt	AT1G59750
m01oak01169cC	AT5G48300
m01oak01170CC	AT3G07480
m01oak01178CC	AT5G58290
m01oak01180jC	AT2G30980
m01oak01183cC	AT5G55230
m01oak01185cT	AT4G21660
m01oak01192cC	AT2G37630
m01oak01194cC	AT5G08570
m01oak01201cC	AT1G11860
m01oak01206cC	AT1G52380
m01oak01212CC	AT1G77670
m01oak01213CC	AT5G18400
m01oak01214CT	AT3G57150
m01oak01215cC	AT2G17230
m01oak01218jC	AT4G29060
m01oak01220cC	AT5G47770
m01oak01223cT	AT5G53400
m01oak01225cC	AT1G78900
m01oak01226cC	AT1G69740
m01oak01227cC	AT5G60920
m01oak01228cC	AT1G17100
m01oak01229cT	AT4G39860
m01oak01230cC	AT4G17560
m01oak01233CC	AT1G80230
m01oak01234cf	AT5G42570
m01oak01235jC	AT3G27090
m01oak01236Cc	AT4G36690
m01oak01240cF	AT1G08110
m01oak01242CC	AT1G07830
m01oak01243CT	AT3G22845
m01oak01244CI	AT3G15000
m01oak01245cc	AT2G05920
m01oak01248CC	AT5G08100
m01oak01249ct	AT1G17745
m01oak01251CC	AT5G08050
m01oak01253cf	AT4G32551
m01oak01254cC	AT4G20150
m01oak01256cC	AT4G28190
m01oak01257CC	AT2G43710
m01oak01258CC	AT3G52990
m01oak01259cC	AT5G66140
m01oak01260CC	AT4G33790
m01oak01261cC	AT5G57630
m01oak01263cC	AT2G44620
m01oak01267cC	AT5G19690
m01oak01269cC	AT4G29250
m01oak01270cC	AT1G50920
m01oak01272CC	AT3G63410
m01oak01273CC	AT5G47570
m01oak01275CT	AT1G72230
m01oak01276CC	AT3G11930
m01oak01277ct	AT5G63190
m01oak01280cF	AT4G32410
m01oak01285cC	AT3G43720
m01oak01286cC	AT5G09920
m01oak01287ct	AT5G13510
m01oak01288CC	AT1G05870
m01oak01289CF	AT4G21150
m01oak01292cF	AT3G22330
m01oak01295cF	AT2G31140
m01oak01296CC	AT5G67590
m01oak01299cC	AT3G61110
m01oak01300cC	AT5G42080
m01oak01302CC	AT2G39050
m01oak01304cC	AT5G10780
m01oak01305cC	AT5G40490
m01oak01311CC	AT5G47390
m01oak01312CC	AT1G80750
m01oak01314CC	AT1G15340
m01oak01316Ci	AT5G23570
m01oak01321Ct	AT4G31750
m01oak01323cC	AT1G62750
m01oak01327cC	AT3G53610
m01oak01330CF	AT4G32520
m01oak01332cC	AT3G56680
m01oak01335CC	AT3G62600
m01oak01336cC	AT3G62420
m01oak01338sC	AT5G42890
m01oak01340jC	AT5G07030
m01oak01343CT	AT1G01060
m01oak01344CC	AT2G34590
m01oak01347cC	AT2G39780
m01oak01348cC	AT3G16660
m01oak01350ci	AT3G61490
m01oak01352cC	AT2G45470
m01oak01353CT	AT4G26210
m01oak01354CT	AT4G33250
m01oak01355CC	AT1G01280
m01oak01356CC	AT1G29850
m01oak01357cF	AT3G06860
m01oak01362JC	AT2G21520
m01oak01363CC	AT4G24570
m01oak01364CT	AT3G46740
m01oak01365CC	AT2G20360
m01oak01368cC	AT1G27970
m01oak01369CC	AT5G46750
m01oak01370CT	AT4G35630
m01oak01371cC	AT5G02050
m01oak01372CC	AT1G75350
m01oak01374CC	AT2G32520
m01oak01375cC	AT2G42320
m01oak01376cC	AT5G57660
m01oak01380cC	AT1G29150
m01oak01381Ct	AT2G39960
m01oak01382cC	AT4G27500
m01oak01384cC	AT3G28920
m01oak01385cC	AT3G26060
m01oak01386CC	AT1G76440
m01oak01387cC	AT1G80070
m01oak01389cC	AT1G27770
m01oak01390cC	AT1G04170
m01oak01391cC	AT5G17870
m01oak01393cC	AT3G27060
m01oak01394cF	AT1G69770
m01oak01401cC	AT1G15290
m01oak01402CC	AT3G53260
m01oak01403cC	AT5G43150
m01oak01404CC	AT2G27350
m01oak01405cC	AT2G47730
m01oak01407CC	AT3G22630
m01oak01409CC	AT5G20950
m01oak01411jC	AT1G30580
m01oak01413CC	AT5G27720
m01oak01415cC	AT1G70780
m01oak01417cC	AT1G20020
m01oak01418CC	AT1G08465
m01oak01422cT	AT5G62390
m01oak01423cC	AT4G38100
m01oak01424cC	AT5G05170
m01oak01425CF	AT3G19760
m01oak01426CC	AT3G56880
m01oak01427cC	AT3G08030
m01oak01428CC	AT2G02050
m01oak01431CC	AT3G47340
m01oak01432cC	AT5G67070
m01oak01436cC	AT3G16630
m01oak01437cC	AT4G18710
m01oak01438CT	AT3G51670
m01oak01439CC	AT3G20050
m01oak01441CC	AT3G56070
m01oak01442Ct	AT4G36360
m01oak01445CC	AT1G52220
m01oak01447CC	AT3G24506
m01oak01449cC	AT5G54750
m01oak01450CC	AT1G20930
m01oak01451cf	AT5G09650
m01oak01453cf	AT3G50670
m01oak01454cC	AT5G11770
m01oak01457cC	AT5G56120
m01oak01462CC	AT2G38040
m01oak01463jC	AT4G09510
m01oak01464Ct	AT5G20500
m01oak01465sC	AT4G23820
m01oak01466JF	AT3G63520
m01oak01467JT	AT1G68560
m01oak01469CC	AT2G32730
m01oak01471CC	AT2G37110
m01oak01472cC	AT5G04140
m01oak01474cC	AT1G32130
m01oak01476cC	AT4G29735
m01oak01477cC	AT3G24100
m01oak01481cC	AT3G18820
m01oak01483cC	AT4G34700
m01oak01486cC	AT5G23120
m01oak01487cC	AT4G29520
m01oak01489CT	AT3G17000
m01oak01490cf	AT4G31180
m01oak01491Ct	AT1G76560
m01oak01493cf	AT4G11820
m01oak01495cC	AT3G03100
m01oak01496cC	AT1G79650
m01oak01497CC	AT1G50200
m01oak01500cC	AT1G79840
m01oak01503CC	AT1G68010
m01oak01505cC	AT2G01720
m01oak01506CC	AT4G37930
m01oak01508Ct	AT5G08280
m01oak01509CF	AT4G29510
m01oak01510CC	AT2G43810
m01oak01512CC	AT4G02620
m01oak01515cC	AT1G32220
m01oak01519ci	AT1G16610
m01oak01520cf	AT3G29030
m01oak01521CC	AT4G14145
m01oak01522ct	AT1G01820
m01oak01523cc	AT1G62940
m01oak01524cC	AT3G28730
m01oak01525CC	AT5G57655
m01oak01526CC	AT1G32990
m01oak01527CC	AT1G30330
m01oak01530cC	AT1G27450
m01oak01531Ct	AT1G74690
m01oak01538CC	AT5G12860
m01oak01539cC	AT5G11900
m01oak01540cC	AT4G33030
m01oak01541CC	AT1G32050
m01oak01542jC	AT4G34350
m01oak01546cC	AT2G47240
m01oak01547cC	AT5G67270
m01oak01549CC	AT1G08580
m01oak01552CC	AT5G66120
m01oak01553cT	AT1G12050
m01oak01555Cz	AT1G76760
m01oak01557CC	AT3G17210
m01oak01558CC	AT2G41530
m01oak01560cC	AT2G41250
m01oak01561CC	AT5G13650
m01oak01564cC	AT1G12410
m01oak01565cC	AT5G13780
m01oak01567JC	AT5G05010
m01oak01568cC	AT2G45300
m01oak01569cC	AT5G04590
m01oak01571cC	AT2G46210
m01oak01573cC	AT5G23290
m01oak01574cC	AT1G64520
m01oak01575jC	AT1G68580
m01oak01576CC	AT2G30110
m01oak01580CT	AT4G38710
m01oak01582cC	AT3G13772
m01oak01584cC	AT4G17720
m01oak01585sC	AT3G13200
m01oak01586cC	AT5G57490
m01oak01588cC	AT1G77350
m01oak01589jC	AT3G20060
m01oak01591cC	AT4G32720
m01oak01593cC	AT4G18040
m01oak01594CT	AT2G25110
m01oak01595CC	AT3G23620
m01oak01599cC	AT3G48750
m01oak01602cC	AT4G32420
m01oak01603cC	AT2G16940
m01oak01604cC	AT3G05700
m01oak01606CC	AT3G13930
m01oak01607cC	AT5G15490
m01oak01608CC	AT5G12040
m01oak01609CC	AT4G16760
m01oak01610Ct	AT2G25310
m01oak01613cC	AT4G29080
m01oak01616cC	AT2G45850
m01oak01620cC	AT3G10260
m01oak01623JC	AT4G31990
m01oak01624cC	AT5G16400
m01oak01625cT	AT1G28120
m01oak01627CF	AT5G50870
m01oak01628CC	AT5G66750
m01oak01632cC	AT1G48850
m01oak01635cC	AT5G35360
m01oak01637jF	AT2G34300
m01oak01639cC	AT5G46290
m01oak01641cC	AT4G04830
m01oak01643CC	AT5G58070
m01oak01647cC	AT1G76160
m01oak01648cF	AT4G24830
m01oak01649CC	AT5G23310
m01oak01650cC	AT4G36800
m01oak01655cC	AT4G38580
m01oak01656cC	AT3G03070
m01oak01657CT	AT1G09130
m01oak01658CC	AT4G39680
m01oak01660CT	AT2G06050
m01oak01663CC	AT1G06130
m01oak01665CC	AT1G62990
m01oak01666CC	AT4G24620
m01oak01667CC	AT5G54800
m01oak01669jC	AT3G51950
m01oak01672CC	AT4G26000
m01oak01675CC	AT1G04080
m01oak01676CC	AT1G32400
m01oak01677cF	AT1G47056
m01oak01678cF	AT1G62780
m01oak01682cC	AT3G12260
m01oak01683cF	AT1G14710
m01oak01686Cz	AT5G55125
m01oak01687CT	AT1G64720
m01oak01688CC	AT5G03940
m01oak01689cC	AT4G24820
m01oak01691Cf	AT5G28640
m01oak01694CC	AT1G10430
m01oak01698CC	AT5G46800
m01oak01700CC	AT3G18420
m01oak01702jC	AT5G45390
m01oak01703Ct	AT3G62760
m01oak01704cC	AT1G01050
m01oak01706Ct	AT5G01350
m01oak01707CC	AT1G76400
m01oak01708CC	AT2G04780
m01oak01709cC	AT3G48440
m01oak01710SC	AT1G67700
m01oak01711CF	AT1G25260
m01oak01712cC	AT5G24580
m01oak01713cC	AT5G04830
m01oak01715cC	AT3G04610
m01oak01716cf	AT5G27640
m01oak01720cC	AT2G35260
m01oak01721CC	AT1G08780
m01oak01722cC	AT4G34240
m01oak01723CC	AT4G28360
m01oak01724cC	AT4G23850
m01oak01726CC	AT2G45660
m01oak01727cC	AT5G19320
m01oak01728cC	AT1G08510
m01oak01730cC	AT3G58730
m01oak01732cC	AT3G16500
m01oak01735CT	AT5G51120
m01oak01736CC	AT4G28510
m01oak01737CT	AT5G22330
m01oak01742cC	AT2G03120
m01oak01743Ct	AT4G00660
m01oak01745cC	AT3G06610
m01oak01751cC	AT1G04690
m01oak01753cC	AT4G25700
m01oak01755CC	AT1G64160
m01oak01757cC	AT1G72970
m01oak01758Cz	AT5G58030
m01oak01762CC	AT2G37990
m01oak01764cC	AT3G16950
m01oak01765CC	AT4G24520
m01oak01767cC	AT3G10500
m01oak01772cC	AT3G15460
m01oak01776cC	AT1G80410
m01oak01777cC	AT5G13710
m01oak01779CC	AT4G01370
m01oak01783CC	AT3G57090
m01oak01784CC	AT1G53750
m01oak01785CC	AT5G59240
m01oak01786CC	AT5G35160
m01oak01788JC	AT3G62120
m01oak01791cC	AT2G21790
m01oak01793cC	AT1G48350
m01oak01795CC	AT1G68370
m01oak01796cC	AT5G26667
m01oak01797CC	AT3G25530
m01oak01800cT	AT2G31410
m01oak01801cC	AT5G40200
m01oak01808Ct	AT1G30380
m01oak01809SC	AT2G37480
m01oak01812cC	AT4G17170
m01oak01813Cz	AT2G04700
m01oak01814cT	AT3G27080
m01oak01815cC	AT4G31550
m01oak01816CC	AT3G48680
m01oak01820cC	AT4G24990
m01oak01821CC	AT5G57580
m01oak01822CT	AT1G76810
m01oak01825cC	AT4G12420
m01oak01826CC	AT4G25550
m01oak01828cC	AT1G06530
m01oak01829cT	AT5G02770
m01oak01830Cf	AT5G51600
m01oak01831Cc	AT5G20090
m01oak01833cT	AT2G27600
m01oak01841cC	AT5G14640
m01oak01842cC	AT1G76660
m01oak01844cC	AT2G37260
m01oak01845CC	AT4G02570
m01oak01846jf	AT5G14610
m01oak01848cC	AT5G55850
m01oak01851cC	AT5G37510
m01oak01853Ct	AT5G28750
m01oak01857cC	AT5G23535
m01oak01859CC	AT5G47530
m01oak01860CC	AT1G02790
m01oak01862CF	AT5G16150
m01oak01865cC	AT4G29810
m01oak01866CT	AT5G64030
m01oak01869cF	AT4G18020
m01oak01870cC	AT2G24060
m01oak01871JC	AT3G16240
m01oak01872cC	AT5G64080
m01oak01873cC	AT3G63460
m01oak01876CF	AT1G14610
m01oak01877CC	AT4G33090
m01oak01879Ct	AT3G55460
m01oak01880cC	AT4G16146
m01oak01881cI	AT4G19210
m01oak01884cC	AT1G72550
m01oak01885cC	AT1G09620
m01oak01889cC	AT3G52090
m01oak01890CC	AT5G55940
m01oak01892cC	AT3G48670
m01oak01893cC	AT5G14780
m01oak01895Jc	AT1G20100
m01oak01896CC	AT1G76080
m01oak01897cT	AT5G54540
m01oak01898cC	AT2G47970
m01oak01899cC	AT2G25080
m01oak01900CT	AT1G21930
m01oak01901cC	AT2G26560
m01oak01902cT	AT2G02570
m01oak01904Ct	AT4G26690
m01oak01912CC	AT2G15430
m01oak01914CF	AT2G38110
m01oak01915cT	AT5G26830
m01oak01916CC	AT2G30200
m01oak01917CC	AT2G42880
m01oak01919CC	AT2G42690
m01oak01921cC	AT1G75840
m01oak01927cC	AT4G15560
m01oak01928CC	AT2G13360
m01oak01931Cf	AT4G15440
m01oak01933CC	AT3G07170
m01oak01935CC	AT5G04600
m01oak01936CC	AT5G32440
m01oak01937CT	AT4G16150
m01oak01941CT	AT5G48220
m01oak01942cC	AT2G27730
m01oak01943cC	AT1G74960
m01oak01944cC	AT4G28310
m01oak01947cC	AT2G27510
m01oak01948CC	AT3G12050
m01oak01952Ct	AT5G03345
m01oak01953cC	AT3G05550
m01oak01954jT	AT5G58470
m01oak01955CT	AT5G49480
m01oak01962CF	AT4G25650
m01oak01963cC	AT2G17200
m01oak01964CC	AT3G62980
m01oak01965CF	AT3G23890
m01oak01967cC	AT2G04280
m01oak01968CT	AT5G51110
m01oak01969CC	AT1G13280
m01oak01972CC	AT3G26740
m01oak01975cF	AT3G15010
m01oak01976cC	AT4G34640
m01oak01979CC	AT4G37750
m01oak01983JC	AT5G12470
m01oak01984CF	AT2G25970
m01oak01986jC	AT2G20840
m01oak01990CC	AT3G18190
m01oak01992ci	AT2G47115
m01oak01995cC	AT2G32080
m01oak01996cC	AT5G18590
m01oak01998CC	AT3G52950
m01oak02002cC	AT4G28540
m01oak02003cF	AT4G24690
m01oak02005CF	AT1G47490
m01oak02006CC	AT2G44350
m01oak02007JC	AT3G10330
